id_batiment,nb_maisons,infra_id,infra_type,longueur,nb_maisons_total,difficulty,difficulty_total
E000371,1,P005100,a_remplacer,6.25975675306654,32,0.19561739853332938,26.87053971444598
E000370,1,P008012,a_remplacer,2.80432575486411,11,0.25493870498764637,11.59652138182298
E000229,1,P008004,a_remplacer,4.2679056836056,16,0.26674410522535,9.10675321077454
E000370,1,P000494,a_remplacer,4.84007013228732,16,0.3025043832679575,11.59652138182298
E000146,1,P008001,a_remplacer,9.80181343246892,32,0.30630666976465376,10.756336985060534
E000197,1,P000719,a_remplacer,10.698159350814,32,0.3343174797129375,11.615696476401258
E000302,1,P000732,a_remplacer,10.7871386086093,32,0.33709808151904064,6.428007231705491
E000228,1,P007810,a_remplacer,0.372684471449813,1,0.372684471449813,0.372684471449813
E000363,1,P000470,a_remplacer,2.57224945914596,6,0.4287082431909934,9.60420123769071
E000327,1,P000476,a_remplacer,4.08484495788828,8,0.510605619736035,10.093984830132046
E000367,1,P006950,a_remplacer,4.98657320364,8,0.623321650455,7.755010587645089
E000275,1,P008010,a_remplacer,7.57564714734482,12,0.6313039289454017,9.681149963673342
E000327,1,P008019,a_remplacer,4.16591671935325,5,0.83318334387065,10.093984830132046
E000370,1,P008013,a_remplacer,8.28759638847956,9,0.9208440431643956,11.59652138182298
E000377,1,P004862,a_remplacer,8.82148724309171,9,0.9801652492324122,14.991888148789673
E000371,1,P008003,a_remplacer,16.9947899061457,16,1.0621743691341063,26.87053971444598
E000371,1,P008016,a_remplacer,8.04338585809972,7,1.1490551225856742,26.87053971444598
E000161,1,P008005,a_remplacer,8.40245186934037,7,1.2003502670486241,14.614254076234484
E000370,1,P000464,a_remplacer,4.85875310412324,4,1.21468827603081,11.59652138182298
E000365,1,P008031,a_remplacer,10.978932377147,9,1.2198813752385556,11.131243816089716
E000363,1,P000462,a_remplacer,3.69477602082419,3,1.2315920069413966,9.60420123769071
E000302,1,P000730,a_remplacer,1.29899271965775,1,1.29899271965775,6.428007231705491
E000372,1,P004271,a_remplacer,6.61138266761108,5,1.322276533522216,12.887763836853317
E000184,1,P005000,a_remplacer,2.71913580007238,2,1.35956790003619,48.74226852965489
E000111,1,P007813,a_remplacer,1.36523196955369,1,1.36523196955369,25.74856091413169
E000316,1,P007662,a_remplacer,1.45309505359909,1,1.45309505359909,15.955275491744795
E000293,1,P003849,a_remplacer,4.45174541295179,3,1.4839151376505966,16.231862660649398
E000374,1,P008032,a_remplacer,10.5209747840379,7,1.5029963977197,22.603763340240597
E000315,1,P007994,a_remplacer,5.03354509521443,3,1.6778483650714768,17.190819202521105
E000315,1,P003330,a_remplacer,1.95148972393884,1,1.95148972393884,17.190819202521105
E000369,1,P004269,a_remplacer,8.03245737103393,4,2.0081143427584824,14.070397644244384
E000360,1,P004282,a_remplacer,6.15148232447661,3,2.05049410815887,12.810166646641871
E000371,1,P008017,a_remplacer,4.27226322548612,2,2.13613161274306,26.87053971444598
E000359,1,P003870,a_remplacer,6.48414270909882,3,2.16138090303294,16.74636438264999
E000107,1,P005500,a_remplacer,13.1420349052071,6,2.19033915086785,11.11202016137346
E000109,1,P007991,a_remplacer,7.5088306175948,3,2.5029435391982666,8.129951455258055
E000326,1,P008025,a_remplacer,10.7673305164675,4,2.691832629116875,28.13618156993365
E000372,1,P004261,a_remplacer,8.0897383575819,3,2.6965794525273004,12.887763836853317
E000368,1,P004284,a_remplacer,5.44625644673519,2,2.723128223367595,10.519256779390025
E000366,1,P003881,a_remplacer,5.48429532793334,2,2.74214766396667,26.55706574534917
E000226,1,P000744,a_remplacer,5.56320770970003,2,2.781603854850015,9.665908602892715
E000085,1,P007447,a_remplacer,2.84535154473363,1,2.84535154473363,9.07963855545213
E000370,1,P007533,a_remplacer,2.84839658610424,1,2.84839658610424,11.59652138182298
E000376,1,P004211,a_remplacer,2.87454919232451,1,2.87454919232451,22.52058254109717
E000380,1,P008035,a_remplacer,11.7197592250876,4,2.9299398062719,18.542957847311442
E000363,1,P007645,a_remplacer,3.03521930158189,1,3.03521930158189,9.60420123769071
E000379,1,P004257,a_remplacer,6.11375464797472,2,3.05687732398736,19.85674406237927
E000317,1,P007584,a_remplacer,3.081639376471,1,3.081639376471,8.24808429920289
E000322,1,P003802,a_remplacer,12.5012019609488,4,3.1253004902372,14.364153179095899
E000106,1,P007752,a_remplacer,3.12835142463862,1,3.12835142463862,3.12835142463862
E000359,1,P006712,a_remplacer,12.5562775429942,4,3.13906938574855,16.74636438264999
E000315,1,P007770,a_remplacer,3.21575403753504,1,3.21575403753504,17.190819202521105
E000175,1,P000723,a_remplacer,13.1599422339419,4,3.289985558485475,30.716827882426074
E000358,1,P007544,a_remplacer,3.33630911377794,1,3.33630911377794,8.64997346245692
E000326,1,P006709,a_remplacer,13.4212136147779,4,3.355303403694475,28.13618156993365
E000257,1,P007648,a_remplacer,3.39796783687204,1,3.39796783687204,28.287699669685537
E000327,1,P007677,a_remplacer,3.55803562516816,1,3.55803562516816,10.093984830132046
E000301,1,P003202,a_remplacer,3.57039201834049,1,3.57039201834049,9.88519399058816
E000229,1,P007731,a_remplacer,3.79968906454059,1,3.79968906454059,9.10675321077454
E000369,1,P008033,a_remplacer,30.5368269197176,8,3.8171033649647,14.070397644244384
E000107,1,P001391,a_remplacer,7.63593644945982,2,3.81796822472991,11.11202016137346
E000377,1,P004196,a_remplacer,7.74281322100572,2,3.87140661050286,14.991888148789673
E000275,1,P007618,a_remplacer,3.98512786168602,1,3.98512786168602,9.681149963673342
